"week","home_team","away_team","full_name","avgpoints","defense","athome","actualpts","avg","low","high","intop30","std2017","rectar","maxrectar","minrectar","rectds","recyards","defsacks","passing_int","passing_yds_against","passing_tds_against","rushing_yds_allowed","rushing_tds_allowed"
5,"HOU","KC","Bruce Ellington",8.17,"KC",1,5.00,4.6,2.3,7.4,0,7.91,4.33,7,2,0.33,34.33,3.67,1.33,279.00,0.67,111.67,1.33
6,"HOU","CLE","Bruce Ellington",7.38,"CLE",1,4.20,5.7,2.6,8.0,0,6.65,4.00,7,2,0.25,33.25,2.25,0.50,256.25,2.25,87.25,1.00
8,"SEA","HOU","Bruce Ellington",6.74,"SEA",0,2.30,4.2,2.3,7.1,0,5.93,3.80,7,2,0.20,31.00,2.20,1.00,216.00,0.80,127.20,0.80
9,"HOU","IND","Bruce Ellington",6.00,"IND",1,5.20,4.7,2.3,7.1,0,5.61,3.83,7,2,0.17,28.00,1.86,1.00,310.86,1.43,124.57,1.43
10,"LA","HOU","Bruce Ellington",5.89,"LA",0,14.10,4.3,2.3,8.3,0,5.13,4.43,8,2,0.14,27.14,3.29,1.29,223.57,1.14,123.14,1.14
11,"HOU","ARI","Bruce Ellington",6.91,"ARI",1,12.80,7.1,5.6,11.0,0,5.57,4.88,8,2,0.25,28.88,2.13,1.00,263.63,1.75,100.25,0.88
12,"BAL","HOU","Bruce Ellington",7.57,"BAL",0,5.90,5.9,5.6,8.3,0,5.56,5.11,8,2,0.22,32.67,2.44,1.44,200.56,1.22,125.89,0.67
5,"CLE","NYJ","Bryce Treggs",,"NYJ",1,4.80,,,,0,,,,,,,1.67,1.00,224.67,2.00,133.33,1.33
6,"HOU","CLE","Bryce Treggs",4.80,"HOU",0,3.00,3.2,2.6,5.0,0,,6.00,6,6,0.00,28.00,2.50,1.00,211.00,1.50,95.50,0.75
7,"CLE","TEN","Bryce Treggs",3.90,"TEN",1,3.50,3.1,2.1,4.1,0,1.27,4.50,6,3,0.00,24.00,1.60,0.80,246.60,2.40,110.00,0.60
8,"CLE","MIN","Bryce Treggs",3.77,"MIN",1,1.20,,,,0,0.93,3.67,6,2,0.00,22.33,2.50,1.17,235.33,1.33,78.67,0.17
